./init-sources/others_leaf_17.png has [0.012, 0.0, 0.0, 0.071, 0.103, 0.082, 1.009, 1.484, 0.063, 0.376, 0.931, 0.368, 0.0, 0.031, 0.045, 0.0, 0.0, 0.0, 0.0, 0.083, 0.105, 0.001, 1.219, 1.982, 0.07, 0.178, 0.72, 0.471, 0.0, 0.019, 0.054, 0.0, 0.0]
./init-sources/watermelon_watermelon_02.jpg has [0.768, 0.355, 0.582, 0.461, 0.036, 0.643, 1.567, 1.596, 0.848, 1.35, 1.374, 0.862, 2.117, 0.343, 1.175, 0.218, 0.178, 0.371, 0.813, 0.61, 0.032, 0.704, 2.17, 1.884, 0.718, 1.603, 1.809, 0.876, 4.919, 0.365, 2.068, 0.266, 0.211]
./init-sources/guava_guava_07.JPG has [0.003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 660.5, 3968.0, 3546.385, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3968.0, 15875.0, 0, 0, 0, 0, 0]
./init-sources/guava_guava_06.JPG has [0.005, 0, 0, 0, 0, 98.64, 9.852, 8.002, 38.619, 3.216, 1.899, 1.943, 2.966, 55.034, 14.919, 24.352, 3188.429, 0, 0, 0, 0, 80.0, 9.829, 7.614, 28.448, 1.148, 0.606, 1.135, 1.931, 81.203, 15.892, 17.633, 0]
./init-sources/watermelon_watermelon_03.jpg has [0.015, 0.009, 0.684, 0.344, 0.09, 0.502, 1.251, 1.194, 0.462, 0.236, 1.206, 1.145, 0.629, 0.049, 0.966, 0.342, 0.012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.036, 0.026, 0.0, 0.008, 0.002, 0.003]
./init-sources/others_leaf_16.png has [0.074, 16.294, 6.362, 32.755, 14.434, 4.371, 1.596, 6.775, 32.345, 30.417, 5.896, 56.731, 13.06, 13.895, 21.097, 11.936, 33.884, 15.167, 6.203, 34.124, 14.418, 3.682, 1.266, 5.825, 32.785, 30.008, 5.0, 50.545, 12.286, 13.795, 19.253, 11.6, 36.117]
./init-sources/others_leaf_02.png has [0.158, 7.675, 5.629, 13.213, 0, 3.637, 2.1, 2.909, 11.19, 16.792, 0.921, 1.937, 5.788, 0, 27.661, 9.278, 18.576, 6.316, 10.656, 6.374, 0, 2.513, 1.936, 3.422, 15.029, 11.6, 0.686, 1.729, 10.22, 0, 25.503, 7.531, 15.914]
./init-sources/pomegranate_pomegranate_09.JPG has [0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
./init-sources/alstonia_alstonia_05.JPG has [0.006, 0, 0, 0, 0, 0, 220.526, 284.198, 414.459, 13.727, 19.241, 126.689, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175.4, 272.724, 0, 16.294, 30.752, 7937.0, 0, 0, 0, 0, 0]
./init-sources/alstonia_alstonia_07.JPG has [0.008, 0, 0, 0, 0, 399.235, 634.04, 140.75, 38.248, 82.558, 84.05, 100.987, 0, 1646.0, 0, 0, 0, 0, 0, 0, 0, 316.52, 689.261, 104.84, 28.849, 111.596, 54.51, 73.887, 0, 0, 0, 0, 0]
